KK Phage Name	Organism	NCBI Accession	NCBI GI	Description
CP-T1	Vibrio phage CP-T1	AFC22405.1	378565133	 putative TerL large-subunit terminase 
D29	Mycobacterium phage D29	NP_046828.1	9630396	 gp13 
D3	Pseudomonas phage D3	NP_061498.1	9635588	 terminase 
D3112	Pseudomonas phage D3112	NP_938233.1	38229138	 hypothetical protein D3112p26 
DSS3Phi2	Silicibacter phage DSS3phi2	ACL81343.1	220898085	 N4 gp68-like protein 
E1	Salmonella phage Vi II-E1	CAM33107.1	170321588	 phage large terminase subunit 
Ea35-70	Erwinia phage Ea35-70	AHI60333.1	583927031	 terminase, large subunit 
EC1-UPM	Escherichia phage EC1-UPM	AGC31502.1	441431418	 terminase subunit A 
ECO1230–10	Escherichia phage vB_EcoM_ECO1230-10	ADE87935.1	294486119	 putative large terminase subunit 
ECP1	Enterobacter phage EcP1	YP_007003189.1	418489369	 hypothetical protein EcP1_gp66 
EE36Phi1	Sulfitobacter phage EE36phi1	ACL81422.1	220898165	 N4 gp68-like protein 
EJ-1	Streptococcus phage EJ-1	NP_945278.1	39653713	 terminase, large subunit 
EMCL-117	Escherichia phage ECML-117	AFO10464.1	397133956	 phage terminase large subunit 
Era103	Erwinia amylovora phage Era103	YP_001039677.1	126000006	 TerL large terminase subunit-like protein 
ES18	Enterobacteria phage ES18	YP_224140.1	62362215	 gp2 
ESSI-2	Cronobacter phage ESSI-2	ADX32368.1	323146129	 putative terminase ATPase subunit 
Felix-O1	Salmonella phage FelixO1	AAC24136.1	3249698	 unknown 
Fels-1	Salmonella phage Fels-1	YP_001700563.1	169257185	 bacteriophage terminase, large subunit 
Fels-2	Salmonella phage Fels-2	YP_001718747.1	169936048	 P2 gpP-like protein 
Flex5	Shigella flexneri 2a str. 301	NP_707056.2	56479836	 terminase of prophage CP-933C 
FluMu	Haemophilus influenzae Rd KW20	NP_439650.1	16273402	 hypothetical protein HI1500 
FSL-SP-058	Salmonella phage FSL SP-058	YP_008239484.1	526003524	 hypothetical protein SP058_00400 
G1	Staphylococcus phage G1	YP_240892.1	66394959	 ORF010 
GAP227	Cronobacter phage vB_CskP_GAP227	YP_007348364.1	448260268	 DNA maturase B 
gh-1	Pseudomonad phage gh-1	NP_813786.1	29366741	 DNA packaging protein B 
Gifsy-1	Phage Gifsy-1	YP_001700612.1	169257235	 DNA packaging protein; large terminase subunit; Lambda gpA homolog 
Gifsy-2	Phage Gifsy-2	YP_001700675.1	169257299	 bacteriophage DNA packaging protein; terminase, large subunit 
Gj1	Enterobacteria phage phiEcoM-GJ1	YP_001595443.1	161617963	 putative large subunit terminase 
RhodoGTA	Rhodobacter capsulatus	AAF13179.1	6467533	AF181080_1 putative gene transfer agent large terminase 
HK022	Enterobacteria phage HK022	NP_037663.1	9634121	 terminase large subunit 
HK620	Enterobacteria phage HK620	NP_112076.1	13559866	 terminase large subunit 
HK639	Escherichia phage HK639	YP_004934032.1	356870602	 terminase large subunit 
HK97	Enterobacteria phage HK97	NP_037698.1	9634166	 terminase large subunit 
HP1	Haemophilus phage HP1	NP_043485.1	9628620	 hypothetical protein HP1p21 
HS2	Sodalis praecaptivus	AHF77910.1	573022374	 Putative terminase large subunit protein 
IME11	Enterobacter phage IME11	YP_006990693.1	414090582	 hypothetical protein IME11_88 
JA-1	Vibrio phage JA-1	YP_008126830.1	514052067	 terminase large subunit 
JWAlpha	Achromobacter phage JWAlpha	AHC94037.1	567727242	 hypothetical protein JJJB_0084 
K	Staphylococcus phage K	YP_009041305.1	657184202	 putative terminase large subunit 
K139	Vibrio phage K139	NP_536648.1	17975126	 putative terminase, ATPase subunit 
K1-5	Enterobacteria phage K1-5	YP_654141.1	108862025	40
KF-1	Edwardsiella phage KF-1	YP_006990432.1	414090318	 putative terminase, large subunit 
KP34	Klebsiella phage KP34	YP_003347645.1	282554628	 putative DNA maturase B 
KVP40	Vibrio phage KVP40	NP_899601.1	34419588	 terminase DNA packaging enzyme large subunit 
L-413C	Yersinia phage L-413C	NP_839851.1	30065706	 gpP 
L5	Mycobacterium phage L5	NP_039677.1	9625443	 Terminase 
Lambda	Enterobacteria phage lambda	NP_040581.1	9626245	 DNA packaging protein 
LambdaSo	Shewanella oneidensis MR-1	AAN55981.2	410519838	 Lambda phage terminase A 
lambdaBa02	Bacillus anthracis str. Ames	AAP27819.1	30258600	 putative prophage LambdaBa02, terminase, large subunit 
LambdaSa2	Streptococcus agalactiae 2603V/R	NP_688845.1	22537994	 prophage LambdaSa2, terminase large subunit 
LIMEzero	Pantoea phage LIMElight	YP_007002903.1	418488991	 putative DNA maturase B 
List-I6	Listeria innocua Clip11262	CAC97806.1	16415101	 lin2579 
LIT1	Pseudomonas phage LIT1	YP_003358481.1	282598931	 N4 gp68-like protein 
Lj965	Lactobacillus prophage Lj965	NP_958579.1	41179257	 putative terminase large subunit 
LL-H	Lactobacillus phage LL-H	YP_001285878.1	148750837	 putative terminase large subunit 
LP65	Lactobacillus phage LP65	YP_164748.1	56693161	 hypothetical protein LP65_gp113 
LP7	Enterobacteria phage LP7	AAA88220.1	553003	 packaging glycoprotein, partial 
LUZ7	Pseudomonas phage LUZ7	YP_003358367.1	282599477	 N4 gp68-like protein 
Meso1	Mesorhizobium loti MAFF303099	BAB48042.1	14021429	 mll0463 
Meso2	Mesorhizobium loti MAFF303099	BAB54385.1	14027792	 mlr8521 
Meso3	Mesorhizobium loti MAFF303099	BAB53654.1	14027385	 mlr8003 
MM1	Streptococcus phage MM1	NP_150161.1	15088772	 putative large terminase subunit 
MSW-3	Edwardsiella phage MSW-3	BAM68823.1	427197461	 putative terminase, large subunit 
Mu	Enterobacteria phage Mu	NP_050632.1	9633519	 putative portal protein 
MuSo1	Shewanella oneidensis MR-1	NP_716299.1	24372257	 Mu phage large terminase subunit GpE 
N15	Enterobacteria phage N15	NP_046897.1	9630466	 gp2 
N4	Escherichia phage N4	YP_950546.1	119952237	 gp68 
NF5	Brochothrix phage NF5	ADH03023.1	296245409	 gp2 
O1205	Streptococcus phage O1205	NP_695104.1	23455873	 hypothetical protein O1205p26 
PhiEco32	Enterobacteria phage Phieco32	YP_001671752.1	167583562	 terminase large subunit 
phiKT	Escherichia phage phiKT	AEZ65109.1	374713678	 DNA maturase B 
P008	Lactococcus phage P008	YP_762513.1	115304212	 putative terminase large subunit 
P1	Enterobacteria phage P1	YP_006575.1	46401729	 PacA 
P100	Listeria phage P100	AAY53308.1	66732717	 gp5 
P2	Enterobacteria phage P2	NP_046758.1	9630329	 gpP 
P22	Enterobacteria phage P22	YP_063734.1	51236724	 terminase large subunit 
P27	Enterobacteria phage phiP27	NP_543088.1	18249900	 putative terminase 
PBC5	Sinorhizobium phage PBC5	NP_542306.1	18071222	 hypothetical protein PBC5p46 
PBSX	Bacillus subtilis subsp. subtilis str. 168	NP_389140.1	16078323	 PBSX phage terminase large subunit 
pCB2047-B	Sulfitobacter phage phiCB2047-B	YP_007675791.1	472342282	 hypothetical protein SUFG_00002 
pEP-14	Erwinia phage PEp14	AEY69590.1	373429465	 putative terminase large subunit 
Phage21	Phage 21	AAA32340.1	215456	 terminase large subunit 
phi-11	Staphylococcus phage 11	NP_803283.1	29028593	 large terminase 
phi-13	Staphylococcus phage 13	NP_803384.1	29028696	 terminase-large subunit 
phi92	Enterobacteria phage phi92	CBY99548.1	396576928	 Phi92_gp119 
phi-adh	Lactobacillus phage phiadh	NP_050148.1	9633040	 hypothetical protein phiadhp40 
phi-CTX	Pseudomonas phage phiCTX	NP_490600.1	17313220	 predicted DNA-dependent ATPase terminase subunit 
phi-ETA	Staphylococcus phage phiETA	NP_510934.1	17426268	 similar to phage O1205 ORF26 (putative large subunit terminase) 
psiM100	Methanothermobacter phage psiM100	AAG39957.1	11692721	AF301375_17 putative large terminase subunit 
psiM2	Methanobacterium phage psiM2	NP_046964.1	9630534	 large terminase subunit 
phi-Sa2MW	Staphylococcus aureus	WP_000153544.1	446075689	 terminase 
phi1026b	Burkholderia phage phi1026b	NP_945032.1	38707892	 gp2 
phi-105	Bacillus phage phi105	NP_690755.1	22854995	 hypothetical protein phi105_02 
phi3626	Clostridium phage phi3626	NP_612831.1	20065965	 putative terminase large subunit 
phi80	Enterobacteria phage phi80	AFV29142.1	409188394	 terminase large subunit 
phiA1122	Yersinia phage phiA1122	NP_848309.1	30387500	 DNA maturase B 
phi-BT1	Streptomyces phage phiBT1	NP_813693.1	29366753	 gp33 
phiC31	Streptomyces phage phiC31	NP_047924.1	9631142	 gp33 
phiE125	Burkholderia phage phiE125	NP_536358.1	17975163	 putative terminase (large subunit) 
phiES15	Cronobacter phage phiES15	AFH14951.1	383389977	 terminase large subunit 
phiEt88	Erwinia phage phiEt88	CBX44515.1	311875257	 terminase, large subunit 
phiFlu	Haemophilus influenzae Rd KW20	NP_439561.1	16273317	 terminase large subunit-like protein 
phig1e	Lactobacillus phage phig1e	NP_695170.1	23455799	 putative terminase large subunit 
phiHSIC	Listonella phage phiHSIC	YP_224236.1	62362371	 putative terminase large subunit 
phiKMV	Pseudomonas phage phiKMV	NP_877482.1	33300854	 putative DNA maturase B 
phiKO2	Klebsiella phage phiKO2	YP_006582.1	46402088	 putative large terminase subunit 
phiR1-37	Yersinia phage phiR1-37	CCE26169.1	353227948	 putative terminase large subunit; ATP-dependent DNA-helicase 
phiSLT	Staphylococcus phage Slt	NP_075501.1	12719430	 terminase large subunit 
phiYeO3-12	Yersinia phage phiYeO3-12	NP_052122.1	9634048	 DNA packaging protein B 
Pnm1	Neisseria meningitidis Z2491	CAM08971.1	121052631	 hypothetical protein NMA1852 
PP01	Pseudomonas putida KT2440	AAN69475.1	24985568	AE016582_13 phage terminase, large subunit, putative 
PP02	Pseudomonas putida KT2440	NP_745186.1	26989761	 terminase large subunit 
PP04	Pseudomonas putida KT2440	AAN67184.1	24983041	AE016346_2 phage terminase, large subunit, putative 
P-SSP7	Prochlorococcus phage P-SSP7	YP_214228.1	61806451	 DNA maturase beta subunit 
PVL	Staphylococcus phage PVL	NP_058441.1	9635167	 hypothetical protein PVL_02 
PY100	Yersinia phage PY100	CAJ28416.1	164414521	 terminase large subunit 
PY54	Yersinia phage PY54	NP_892047.1	33770510	 terminase large subunit 
pYD6-A	Pseudoalteromonas phage pYD6-A	YP_007674305.1	472340783	 hypothetical protein PYDG_00098 
r1t	Lactococcus phage r1t	NP_695057.1	23455748	 putative terminase 
RadMu	Deinococcus radiodurans R1	NP_285417.1	15807762	 hypothetical protein DR_A0094 
Rak2	Enterobacteria phage vB_KleM-RaK2	AFA44384.1	375281191	 large terminase protein 
RB49	Enterobacteria phage RB49	NP_891724.1	33620526	 terminase DNA packaging enzyme large subunit 
Plymouth-podovirus-1	Roseovarius Plymouth podovirus 1	CBX88008.1	408906086	 N4 gp68-like protein 
rV5	Escherichia phage rv5	YP_002003567.1	194173092	 terminase large subunit 
SETP3	Salmonella phage SETP3	YP_001110830.1	134288591	 putative terminase large subunit 
Sf6	Enterobacteria phage Sf6	NP_958178.1	41057280	 gene 2 protein 
Sfi11	Streptococcus phage Sfi11	NP_056675.1	9635008	 gp411 
Sfi19	Streptococcus phage Sfi19	NP_049926.1	9632897	 putative terminase large subunit 
Sfi21	Streptococcus phage Sfi21	NP_049967.1	9632939	 putative large subunit terminase 
SfV	Enterobacteria phage SfV	NP_599034.1	19548992	 large terminase subunit 
sk1	Lactococcus phage SK1	NP_044948.1	9629655	 terminase large subunit 
SKIN	Bacillus subtilis subsp. subtilis str. 168	NP_390496.1	16079672	 hypothetical protein BSU26190 
SO-1	Sodalis phage SO1	YP_003344937.1	273810556	 gp2 
SP18	Shigella phage SP18	YP_003934803.1	308814529	 terminase DNA packaging enzyme large subunit 
SP6	Enterobacteria phage SP6	NP_853601.1	31711683	 large terminase subunit 
SPN3US	Salmonella phage SPN3US	AEP84093.1	349502971	 putative terminase large subunit 
SPO1	Bacillus phage SPO1	YP_002300330.1	209972883	 gp2.11 
SPP1	Bacillus phage SPP1	NP_690654.1	22855048	 hypothetical protein SPP1p003 
SSU5	Salmonella phage SSU5	AFL46929.1	390013837	 putative terminase large subunit 
ST64B	Salmonella phage ST64B	NP_700375.1	23505447	 Terminase large subunit 
ST64T	Salmonella phage ST64T	NP_720326.1	24371583	 terminase large subunit 
Stx1-phi	Escherichia Stx1 converting phage	BAC77983.1	32128179	 hypothetical protein 
T1	Enterobacteria phage T1	YP_003892.1	45686309	 putative terminase large subunit 
T3	Enterobacteria phage T3	NP_523347.1	17570838	 DNA packaging protein B 
T4	Enterobacteria phage T4	NP_049776.1	9632591	 gp17 terminase DNA packaging enzyme, large subunit 
T5	Escherichia phage T5	YP_006983.1	46401884	 terminase, large subunit 
T7	Enterobacteria phage T7	NP_042010.1	9627482	 DNA maturation protein 
TM4	Mycobacterium phage TM4	NP_569740.1	18496890	 putative terminase gp4 
TP901-1	Lactococcus phage TP901-1	NP_112694.1	13786562	 TerL 
vB-EamP-S6	Erwinia phage vB_EamP-S6	YP_007005834.1	422935937	 gp098 
vB-EcoP-G7c	Escherichia phage vB_EcoP_G7C	AEL79678.1	343082267	 terminase subunit A 
VBP32	Vibrio phage VBP32	YP_007676555.1	472343052	 hypothetical protein VPMG_00065 
VHML	Vibrio phage VHML	NP_758915.1	27311189	 ORF22 
Vi01	Salmonella phage ViI	YP_004327532.1	326804661	 Gp17 terminase subunit for DNA packaging, nuclease and ATPase 
VP16C	Vibrio phage VP16C	AAQ96534.1	37626159	 putative large terminase subunit 
VP16T	Vibrio phage VP16T	AAQ96470.1	37626094	 putative large terminase subunit 
VPMS1	Vibrio phage VPMS1	YP_008239661.1	525972088	 terminase large subunit 
VpV262	Vibrio phage VpV262	NP_640322.1	21234401	 hypothetical protein VpV262p61 
VWB	Streptomyces phage VWB	NP_958275.1	41057249	 hypothetical protein VWBp33 
WO	Wolbachia phage WO	BAA89621.1	6723224	 orf2 
XccP1	Xanthomonas campestris pv. campestris str. ATCC 33913	NP_638318.1	21232401	 phage-related terminase 
Xp10	Xanthomonas phage Xp10	NP_858953.1	32128418	 terminase large subunit 
ZF40	Pectobacterium phage ZF40	YP_007006950.1	422936681	 putative TerL large-subunit terminase 
epsilon15	Salmonella phage epsilon15	AAO06065.1	30266036	 terminase large subunit 
PhiEaH1	Erwinia phage PhiEaH1	AGX01793.1	548652049	 terminase large subunit 
