phage	term_clust
1.175.O.	terminase3
1.201.B.	terminase3
1.158.O.	terminase3
1.087.A.	terminase3
1.246.O.	terminase3
1.100.O.	terminase3
1.017.O.	terminase3
1.093.O.	terminase3
1.094.O.	terminase3
1.075.O.	terminase3
1.124.O.	terminase3
1.223.O.	terminase3
1.164.O.	terminase3
1.174.O.	terminase3
1.005.O.	terminase3
1.012.O.	terminase1
1.160.O.	terminase1
1.118.B.	terminase1
1.237.B.	terminase1
1.237.A.	terminase1
1.089.O.	terminase1
1.118.A.	terminase1
1.098.O.	terminase1
1.103.O.	terminase1
1.032.O.	terminase1
1.104.O.	terminase1
1.023.O.	terminase1
1.251.O.	terminase1
1.022.O.	terminase1
1.046.O.	terminase1
1.285.O.	terminase1
1.250.O.	terminase1
1.033.O.	terminase1
1.024.O.	terminase1
1.088.O.	terminase1
1.052.A.	terminase1
1.027.O.	terminase1
1.272.O.	terminase1
1.274.O.	terminase1
1.271.B.	terminase1
1.270.B.	terminase1
1.271.A.	terminase1
1.281.O.	terminase1
1.282.A.	terminase1
1.280.O.	terminase1
1.277.A.	terminase1
1.277.B.	terminase1
1.270.A.	terminase1
1.195.O.	terminase1
1.196.O.	terminase1
1.194.O.	terminase1
1.171.O.	terminase1
1.268.B.	terminase1
1.269.O.	terminase1
1.268.A.	terminase1
1.200.O.	terminase1
1.267.O.	terminase1
1.283.B.	terminase1
1.283.C.	terminase1
1.283.A.	terminase1
1.047.O.	terminase6
1.287.O.	terminase6
1.289.A.	terminase6
1.284.A.	terminase6
1.113.A.	terminase6
1.291.O.	terminase6
1.197.A.	terminase6
1.205.O.	terminase6
1.007.O.	terminase7
1.263.B.	terminase7
1.263.A.	terminase7
1.256.O.	terminase7
1.278.O.	terminase7
1.186.O.	terminase7
1.106.O.	terminase7
1.286.O.	terminase7
1.199.A.	terminase7
1.199.B.	terminase7
1.105.O.	terminase7
1.173.O.	terminase7
1.248.O.	terminase7
1.243.O.	terminase7
1.149.O.	terminase7
1.273.O.	terminase7
2.058.O.	terminase4
3.058.O.	terminase4
1.210.O.	terminase5
1.214.O.	terminase5
1.239.O.	terminase5
1.144.O.	terminase5
1.013.O.	terminase5
1.213.O.	terminase5
1.177.O.	terminase5
1.216.O.	terminase5
1.123.O.	terminase5
1.135.O.	terminase5
1.137.O.	terminase5
1.110.O.	terminase5
1.236.O.	terminase5
1.031.O.	terminase38
1.215.B.	terminase38
1.215.A.	terminase38
1.211.A.	terminase39
1.211.B.	terminase39
1.183.O.	terminase39
1.182.O.	terminase44
1.232.O.	terminase44
1.117.O.	terminase29
2.117.O.	terminase29
1.207.B.	terminase29
1.111.A.	terminase28
1.111.B.	terminase28
1.198.B.	terminase25
1.198.A.	terminase25
2.095.B.	terminase25
2.095.A.	terminase25
1.276.O.	terminase25
1.119.O.	terminase24
1.231.O.	terminase24
1.143.O.	terminase24
1.127.O.	terminase24
1.178.O.	terminase24
1.265.O.	terminase24
1.049.O.	terminase26
1.055.O.	terminase26
1.050.O.	terminase26
2.096.O.	terminase26
1.083.O.	terminase26
1.004.O.	terminase23
1.066.O.	terminase23
1.068.O.	terminase23
1.072.O.	terminase23
1.037.O.	terminase23
1.056.O.	terminase23
2.044.O.	terminase23
1.016.O.	terminase22
1.071.A.	terminase22
1.042.O.	terminase22
1.112.O.	terminase22
1.184.A.	terminase22
